category,company_name,website,primary_locations,service_area,primary_services,residential_positioning,commercial_positioning,contractor_positioning,historic_floor_positioning,dustless_or_dust_controlled_claim,review_count,review_rating,review_recency,google_maps_visibility,organic_search_visibility,paid_search_visibility,website_quality,mobile_usability,landing_page_quality,calls_to_action,offer_strategy,trust_signals,before_after_proof,project_photography,video_usage,social_platforms,posting_frequency,engagement_quality,brand_identity,messaging_themes,strengths,weaknesses,claims_requiring_verification,nola_dustless_opportunity,evidence_source,evidence_status,observed_utc
Direct hardwood,NOLA Hardwood Floors,https://nolahardwoodfloors.com/,Provisional—New Orleans,Provisional—Greater New Orleans,Provisional—Hardwood installation; sanding; refinishing; repair,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://nolahardwoodfloors.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Floorcrafters Wood Interiors,https://floorcrafters.com/,Provisional—New Orleans area,Provisional—Greater New Orleans,Provisional—Wood flooring; refinishing; installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://floorcrafters.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Ron-Del Floor Service,https://www.rondelfloorservice.com/,Provisional—New Orleans area,Provisional—Greater New Orleans,Provisional—Hardwood installation; sanding; refinishing,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://www.rondelfloorservice.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Perque Flooring,https://perqueflooring.com/,Provisional—Metairie,Provisional—New Orleans metro,Provisional—Flooring sales; hardwood; installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://perqueflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Terry’s Floor Fashions,https://terrysfloorfashions.com/,Provisional—New Orleans metro,Provisional—Greater New Orleans,Provisional—Flooring retail; hardwood; installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://terrysfloorfashions.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Southern Hardwood & Floor Supply,https://southernhardwood.net/,Provisional—New Orleans area,Provisional—Gulf South,Provisional—Hardwood materials; floor supply; contractor support,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Provisional—Visible supply/trade orientation,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://southernhardwood.net/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Woodwright Hardwood Floor Company,https://woodwright.net/,Provisional—New Orleans area,Provisional—Greater New Orleans,Provisional—Hardwood floors; installation; refinishing,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://woodwright.net/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,New Orleans Flooring,https://neworleansflooring.com/,Provisional—New Orleans,Provisional—Greater New Orleans,Provisional—Flooring; hardwood; installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://neworleansflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Crescent City Flooring,https://crescentcityflooring.com/,Provisional—New Orleans area,Provisional—Greater New Orleans,Provisional—Flooring installation; hardwood,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://crescentcityflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Big Easy Flooring,https://bigeasyflooring.com/,Provisional—New Orleans area,Provisional—Greater New Orleans,Provisional—Flooring installation; hardwood,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://bigeasyflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Elliott’s Floor Covering,https://elliottsfloorcovering.com/,Provisional—Mathews / New Orleans region,Provisional—Southeast Louisiana,Provisional—Flooring retail and installation; hardwood,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://elliottsfloorcovering.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Jim Owens Flooring,https://jimowensflooring.com/,Provisional—Metairie,Provisional—Greater New Orleans,Provisional—Flooring retail and installation; hardwood,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://jimowensflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Halpin’s Flooring America,https://www.halpinsflooring.com/,Provisional—Baton Rouge,Provisional—Southeast Louisiana; local reach unconfirmed,Provisional—Flooring retail and installation; hardwood,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://www.halpinsflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Brock’s Flooring,https://brocksflooring.com/,Provisional—Southeast Louisiana,Provisional—Service area unconfirmed,Provisional—Hardwood and broader flooring,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://brocksflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Premier Flooring,URL requires confirmation,Provisional—Greater New Orleans,Provisional—Service area unconfirmed,Provisional—Hardwood and flooring services,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",Company identity surfaced in preliminary market set; official URL unresolved,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Legacy Flooring,URL requires confirmation,Provisional—Greater New Orleans,Provisional—Service area unconfirmed,Provisional—Hardwood and flooring services,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",Company identity surfaced in preliminary market set; official URL unresolved,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
