category,company_name,website,primary_locations,service_area,primary_services,residential_positioning,commercial_positioning,contractor_positioning,historic_floor_positioning,dustless_or_dust_controlled_claim,review_count,review_rating,review_recency,google_maps_visibility,organic_search_visibility,paid_search_visibility,website_quality,mobile_usability,landing_page_quality,calls_to_action,offer_strategy,trust_signals,before_after_proof,project_photography,video_usage,social_platforms,posting_frequency,engagement_quality,brand_identity,messaging_themes,strengths,weaknesses,claims_requiring_verification,nola_dustless_opportunity,evidence_source,evidence_status,observed_utc
Direct hardwood,Footprints Floors New Orleans,https://footprintsfloors.com/new-orleans/,Provisional—New Orleans franchise territory,Provisional—New Orleans metro,Provisional—Hardwood refinishing; installation; repair; tile,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://footprintsfloors.com/new-orleans/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Mr. Sandless,https://mrsandless.com/,Provisional—National franchise; local availability unconfirmed,Provisional—New Orleans availability requires confirmation,Provisional—Wood floor refinishing,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://mrsandless.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,50Floor New Orleans,https://50floor.com/locations/new-orleans/,Provisional—New Orleans market,Provisional—New Orleans metro,Provisional—Shop-at-home flooring; hardwood installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://50floor.com/locations/new-orleans/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Direct hardwood,Floor Coverings International Northshore,https://floorcoveringsinternational.com/,Provisional—Northshore franchise territory,Provisional—Mandeville; Covington; Northshore requires confirmation,Provisional—Mobile flooring retail; hardwood installation,Provisional—Primary/visible,Provisional—Possible; specific emphasis not verified,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Specialist/service-led,Provisional—Craft; hardwood outcome; local service,Provisional—High service-intent relevance,"Provisional—Proof, specialization, geographic pages, and responsiveness must be benchmarked—not assumed","All credentials, dust-control, experience, warranties, review metrics, and superiority claims","Provisional—Outperform with verified proof, service-specific local pages, response system, and clear qualification",https://floorcoveringsinternational.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Floor & Decor,https://www.flooranddecor.com/store/gretna/la/,Provisional—Gretna,Provisional—Regional retail draw,Provisional—Hard-surface materials; wood; installation referrals,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.flooranddecor.com/store/gretna/la/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,The Home Depot,https://www.homedepot.com/services/c/hardwood-floor-installation/0bea4470c,Provisional—Multiple metro stores,Provisional—Greater New Orleans; Northshore,Provisional—Hardwood sales and installation,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.homedepot.com/services/c/hardwood-floor-installation/0bea4470c,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Lowe’s,https://www.lowes.com/l/install/hardwood-flooring,Provisional—Multiple metro stores,Provisional—Greater New Orleans; Northshore,Provisional—Hardwood sales and installation,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.lowes.com/l/install/hardwood-flooring,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,LL Flooring,https://www.llflooring.com/,Provisional—New Orleans metro presence requires confirmation,Provisional—Regional,Provisional—Hard-surface flooring retail and installation,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.llflooring.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,ProSource of New Orleans,https://www.prosourcewholesale.com/showrooms/la-prosource-of-new-orleans,Provisional—Metairie,Provisional—Trade-focused metro market,Provisional—Wholesale flooring; hardwood; trade accounts,Provisional—Primary/visible,Provisional—Retail/trade varies,Provisional—Visible supply/trade orientation,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.prosourcewholesale.com/showrooms/la-prosource-of-new-orleans,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Carpet World of New Orleans,https://carpetworldofneworleans.com/,Provisional—New Orleans metro,Provisional—Greater New Orleans,Provisional—Carpet and hard-surface flooring,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://carpetworldofneworleans.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Modern Flooring & Interiors,https://modernflooringandinteriors.com/,Provisional—New Orleans metro,Provisional—Greater New Orleans,Provisional—Flooring and interior finishes,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://modernflooringandinteriors.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Wholesale Flooring & Granite,https://wholesaleflooringla.com/,Provisional—Southeast Louisiana,Provisional—Greater New Orleans / Northshore reach unconfirmed,Provisional—Flooring and surfaces,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://wholesaleflooringla.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Acadian Flooring America,https://www.acadianflooringamerica.com/,Provisional—Greater New Orleans region,Provisional—Southeast Louisiana,Provisional—Retail flooring and installation,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.acadianflooringamerica.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Broader flooring,Emerson Carpet One Floor & Home,https://www.emersoncarpetonebatonrouge.com/,Provisional—Baton Rouge,Provisional—New Orleans reach unconfirmed,Provisional—Retail flooring and installation,Provisional—Primary/visible,Provisional—Retail/trade varies,Not verified in this research pass,Provisional—Not observed,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Retail/convenience-led,Provisional—Selection; convenience; installation,Provisional—Selection/brand/store infrastructure,Provisional—Hardwood specialization may be diluted,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Win specialist/refinishing work with diagnostic expertise and restoration proof,https://www.emersoncarpetonebatonrouge.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Adjacent,Preservation Resource Center of New Orleans,https://prcno.org/,Provisional—New Orleans,Provisional—New Orleans,Provisional—Historic preservation education; referrals; advocacy,Provisional—Renovation-led/adjacent,Provisional—Project-led; verify,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Restoration/remodeling authority,Provisional—Whole-project trust; preservation; renovation,Provisional—Owns upstream project relationship or preservation trust,Provisional—Flooring is not necessarily core service,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Become the documented hardwood specialist/referral partner,https://prcno.org/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Adjacent,Entablature Design + Build,https://entablature.com/,Provisional—New Orleans,Provisional—Greater New Orleans,Provisional—Architecture; renovation; construction,Provisional—Renovation-led/adjacent,Provisional—Project-led; verify,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Restoration/remodeling authority,Provisional—Whole-project trust; preservation; renovation,Provisional—Owns upstream project relationship or preservation trust,Provisional—Flooring is not necessarily core service,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Become the documented hardwood specialist/referral partner,https://entablature.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Adjacent,MLM Incorporated,https://mlm-inc.com/,Provisional—New Orleans,Provisional—Greater New Orleans,Provisional—General contracting; remodeling; restoration,Provisional—Renovation-led/adjacent,Provisional—Project-led; verify,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Restoration/remodeling authority,Provisional—Whole-project trust; preservation; renovation,Provisional—Owns upstream project relationship or preservation trust,Provisional—Flooring is not necessarily core service,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Become the documented hardwood specialist/referral partner,https://mlm-inc.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Adjacent,Schneider Construction & Restoration,https://schneiderconstructionandrestoration.com/,Provisional—New Orleans,Provisional—Greater New Orleans,Provisional—Renovation; historic restoration; construction,Provisional—Renovation-led/adjacent,Provisional—Project-led; verify,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Restoration/remodeling authority,Provisional—Whole-project trust; preservation; renovation,Provisional—Owns upstream project relationship or preservation trust,Provisional—Flooring is not necessarily core service,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Become the documented hardwood specialist/referral partner,https://schneiderconstructionandrestoration.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
Adjacent,One Man and a Toolbox,https://onemanandatoolbox.com/,Provisional—New Orleans metro,Provisional—Greater New Orleans,Provisional—Home repair; remodeling; maintenance,Provisional—Renovation-led/adjacent,Provisional—Project-led; verify,Not verified in this research pass,Requires page-level verification,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Not verified in this research pass,Requires live local-pack check,Candidate discovered/known; rank not reproducibly verified,Not observable; no accessible live ad auction,URL recorded; full UX audit not completed,Requires device test,Requires page-level audit,Requires page-level audit,No offer recorded,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Requires verification,Provisional—Restoration/remodeling authority,Provisional—Whole-project trust; preservation; renovation,Provisional—Owns upstream project relationship or preservation trust,Provisional—Flooring is not necessarily core service,"All credentials, dust-control, experience, warranties, review metrics, and superiority claims",Provisional—Become the documented hardwood specialist/referral partner,https://onemanandatoolbox.com/,"Provisional research lead only; identity, current operation, website ownership/content, services, territory, rankings, Maps, reviews, ads, and social activity require dated evidence",2026-07-20
